name,funding_amount,city,country,industry,funding_stage,description,investors,startup_age,team_background,traction_indicators,valuation,round_type,language,region_category,company_website,article_keywords,url,publish_date,founder_linkedin
Twindo,1000000.0,,Netherlands,"renewable energy, software, AI",,"Twindo is a renewable energy software company focused on field operations and digital inspection for wind energy teams, aiming to bring more efficiency to workers building the energy transition.","Volve Capital, Rockstart Energy Fund, INH, Samuel Jaudel, Mathias Svendsen",2022,"ex-Siemens, ex-Fairwind, ex-Parkwind, ex-Wrike, ex-WellHub, ex-Indigo Agritech, military logistics systems","supporting over 6GW of assets globally, expanding into solar field ops",,,English,EU,,"renewable energy, wind energy, solar, AI, field operations, digital inspection, efficiency, automation",https://www.eu-startups.com/2025/05/meet-twindo-an-amsterdam-based-startup-that-raised-e1-million-to-aid-the-energy-transition-with-field-first-software/,"May 29, 2025",
Stotles,11500000.0,London,UK,"public sector, procurement, AI",Series A,A platform helping private sector suppliers grow their revenue in the public sector.,"Headline, Acton, Form Ventures, Seedcamp",2020,"John Witt, CEO & Co-Founder","Multiplied customer base, 700% freemium user growth, AI platform launch, 4x pipeline growth, doubled contract win rate",,Series A,English,UK,,"public sector, procurement, AI, funding, Series A, UK, US, government efficiency",https://www.eu-startups.com/2025/05/track-tenders-win-bids-thats-exactly-what-british-startup-stotles-just-raised-e11-5-million-to-help-businesses-achieve/,"May 29, 2025",
Applied Computing,10700000.0,UK,UK,"AI, Oil, Gas, Petrochemical",Seed,"Applied Computing develops foundation models specifically for the Oil, Gas, and Petrochemical Industries to optimize complex industrial processes.","Stride.VC, Repeat.vc",2023,"Callum Adamson (CEO), Dr Sam Tukra (Chief AI Officer)","Orbital is delivering at production scale in complex industrial environments, improving margins, reducing emissions, and reportedly outperforming state-of-the-art software by 90% in key metrics.",,Seed,English,UK,,"AI, foundation models, oil, gas, petrochemical, industrial, Orbital, energy, efficiency, climate-aligned",https://www.eu-startups.com/2025/05/london-based-applied-computing-raises-e10-7-million-to-bring-ai-to-the-energy-industry/,"May 28, 2025",
Plagazi,29500000.0,Gothenburg,Sweden,"ClimateTech, Hydrogen Production, Waste Gasification",Grant,Plagazi aims to revolutionize hydrogen production through advanced waste gasification.,EU Innovation Fund,17,"Soran Shwan, CEO of Plagazi AB","Pilot plant in Gävle, processing 22,000 tons of waste annually, yielding up to 4,000 tons of sustainable hydrogen, greenhouse gas avoidance rate of 206%, generates over 20 jobs during construction and early operation phases",,Grant,English,EU,,"ClimateTech, hydrogen production, waste gasification, EU Innovation Fund, low-carbon hydrogen, sustainable technology",https://www.eu-startups.com/2025/05/swedish-startup-plagazi-locks-in-e29-5-million-eu-grant-to-turn-waste-into-hydrogen/,"May 26, 2025",
VIOTAS,10000000.0,Limerick,Ireland,"smart grid technology, demand-side flexibility services",growth finance,VIOTAS is an innovator in smart grid demand response services that pay large energy users to support grid stability.,Claret Capital Partners,2013,"Prof. Paddy Finn, CEO","expansion to the U.S., entry into the Texas ERCOT market, strong commercial performance, international growth",,growth finance,English,EU,,"smart grid, demand response, energy flexibility, grid stability, international growth",https://www.eu-startups.com/2025/05/irish-startup-viotas-secures-e10-million-to-globally-expand-their-smart-grid-technology/,"May 26, 2025",
Norwegian Mycelium AS (NoMy),1250000.0,Oslo,Norway,"sustainable fermentation technologies, food industry",equity investment,NoMy is a fermentation technology company transforming food industry side streams into high-value ingredients using fungal fermentation technologies.,"Nippon Beet Sugar Manufacturing Co., Ltd. (Nitten), TD Veen, EIT Food, Farvatn",4,"ex-Google, microbiologist, culinary expertise","partnership with Nitten Sugar, commercialisation of mycoprotein technologies",,equity investment,English,EU,,"sustainable fermentation, mycoprotein, food industry, protein supply, sustainability",https://www.eu-startups.com/2025/05/power-of-fungi-norwegian-startup-nomy-raises-e1-25-million-to-scale-its-sustainable-protein-alternative/,"May 26, 2025",
Masia,20000000.0,Barcelona,Spain,frontier tech,"pre-Seed, Seed",Angel fund dedicated to investing in Barcelona-based frontier tech talent.,"Carlos Trenchs, Pepe Borrell, Crowdcube Europe",,"VC investor Carlos Trenchs and Co-founder of Crowdcube Europe, Pepe Borrell",Invested in 9 startups alongside 20 international VCs and angel funds led by emerging managers.,,"pre-Seed, Seed",English,EU,,"Barcelona, frontier tech, angel fund, pre-Seed, Seed, MicroVCs, tech hub",https://www.eu-startups.com/2025/05/angel-fund-masia-launches-today-with-the-goal-of-deploying-e20-million-across-startups-in-barcelona/,"May 26, 2025",
VOYA Games,4400000.0,,Germany,"gaming, blockchain",,"VOYA Games is a German game studio focused on creating player-owned economies, starting with their debut title Craft World.","1kx, Makers Fund, RockawayX, Jeff ‘Jihoz’ Zirlin, Sébastien Borget",1,"Oliver Löffler (creator of Kolibri Games and Idle Miner Tycoon), Florian Dreschner, Dino Erdmann","240,000 registered players, 50,000 monthly active users, 1.1 million total lifetime on-chain trades",,,English,EU,,"gaming, blockchain, player-owned economies, Craft World, testnet, NFT, Web3",https://www.eu-startups.com/2025/05/berlin-based-voya-games-raises-e4-4-million-to-launch-debut-title-craft-world-a-dinosaur-apocalypse-crafting-game/,"May 23, 2025",
PlaySafe ID,1000000.0,,,,Pre-Seed,"A platform for gamers that keeps cheaters, hackers, bots, and predators out of games, ensuring trust, fairness, and accountability without compromising player privacy or freedom.","Early Game Ventures, Hartmann Capital, Overwolf",2024,,"Targets 250,000+ users in the coming months, in integration talks with several major gaming platforms",,Pre-Seed,English,,,"gaming, cheaters, hackers, bots, predators, trust, fairness, accountability, privacy, Online Safety Act, child protection, digital ID, AI, anonymity, network-effects, multiplayer platforms",https://www.eu-startups.com/2025/05/london-based-playsafe-id-raises-e1-million-euros-to-make-online-gaming-safer-by-targeting-hackers-and-even-predators/,"May 23, 2025",
Kidola,1300000.0,Luxembourg,Luxembourg,"Childcare, SaaS",Seed,"An all-in-one childcare management platform that centralizes essential childcare management functions into a single, intuitive platform.","Expon Capital, Super Capital, LBAN – Luxembourg Business Angel Network",2019,Founders became parents around the same time and identified the need for a childcare management solution.,"Trusted by over 30,000 caregivers across Luxembourg, France, and Belgium.",,Seed,English,EU,,"childcare, SaaS, Seed round, expansion, France",https://www.eu-startups.com/2025/05/luxembourg-based-childcare-management-platform-kidola-raises-e1-3-million-to-expand-into-france/,"May 23, 2025",
Income,540000.0,Tallinn,Estonia,"FinTech, Investment, Private Debt",Pre-Seed,Income is an investment platform that connects retail and institutional investors with vetted non-bank lenders across emerging and developed markets.,"Dr Hauptmann, SeedBlink",4,"Kimmo Rytkönen (Co-founder of Indonesian digital bank AMAR), Lavrenti Tšudakov (CEO)","€150 million in loans funded, 9,000 approved investors, €19 million in investments outstanding, 77% increase in loan investments, 54% revenue growth to €509k",,Pre-Seed,English,EU,,"FinTech, investment platform, non-bank lenders, private debt, risk management, retail investors, institutional investors",https://www.eu-startups.com/2025/05/estonian-startup-income-secures-e540k-for-its-investment-platform-that-connects-investors-with-non-bank-lenders/,"May 23, 2025",
Atomik AM,713000.0,Liverpool,UK,"advanced manufacturing, sustainable materials",Scale-up,Atomik AM creates sustainable materials and patented technologies to support scalable and efficient advanced manufacturing.,"Northern Powerhouse Investment Fund II, Praetura Ventures, LYVA Labs",2,"Professor Kate Black, professor of manufacturing at the University of Liverpool","team of 10 people, partnerships with Unilever and Ricoh, patented technologies, developing Universal Binder and sustainable aluminium waste process",,Scale-up,English,UK,,"sustainable manufacturing, materials-led innovation, advanced manufacturing, net zero, 3D metal printing, additive manufacturing",https://www.eu-startups.com/2025/05/female-founded-british-startup-atomik-am-raises-e713k-to-scale-its-advance-manufacturing-business/,"May 22, 2025",
Astrolight,2800000.0,Vilnius,Lithuania,"space communications, aerospace, defense",Seed,A space communications company developing a laser-based end-to-end communication platform that securely connects satellites to earth.,"Balnord, EIFO, Coinvest Capital, 3NGLS, Rita Sakus",2019,"ex-Founder and CTO of Kongsberg Nanoavionics, Center for Physical Sciences and Technology of Lithuania, Light Conversion, Vilnius Tech University","launched a Danish subsidiary, deployment of the first operational optical ground station, demonstration of a hybrid space-to-ground and space-to-space optical terminal",,Seed,English,EU,,"space communications, laser-based, satellites, optical communication, deep-tech, space infrastructure",https://www.eu-startups.com/2025/05/lithuanian-spacetech-startup-astrolight-raises-e2-8-million-for-laser-communications-platform/,"May 22, 2025",
The Corporate Governance Institute,3000000.0,Ireland,Ireland,"EdTech, e-learning, certification",Funding round,An e-learning and certification platform providing boardroom education in Europe and beyond.,"BVP Ireland, Enterprise Ireland, private investors",2020,CEO Ciaran Bollard,"Delegates in over 70 countries, global alumni community including NHS, Google, PWC, BDP, Sumup, and HSBC",,,English,EU,,"EdTech, e-learning, certification, boardroom education, governance, ESG, artificial intelligence, digital governance",https://www.eu-startups.com/2025/05/dublin-based-the-corporate-governance-institute-raises-e3-million-for-the-education-of-business-leaders/,"May 22, 2025",
Penfold,4600000.0,London,UK,"Fintech, Pensions, Digital Workplace",Growth,"Penfold is a digital workplace pension provider transforming the UK pensions industry by making saving for retirement simple, accessible, and engaging.",Gresham House Ventures,2018,Co-founder Chris Eastwood,"Number of employers using Penfold’s workplace pension tripled since the start of 2024 (from 1,200 to over 4,000), assets under administration rose by 91% to nearly €830 million by the end of Q1 2025.",,Growth,English,UK,,"pension, fintech, digital workplace, SME, accountancy, Gresham House Ventures",https://www.eu-startups.com/2025/05/london-based-penfold-raises-e4-6-million-to-further-develop-its-pension-app-for-employees-and-businesses/,"May 22, 2025",
TODAY,1000000.0,Copenhagen,Denmark,"Vertical AI, Financial Services",Pre-Seed,"TODAY develops AI tools tailored specifically for financial advisors, automating documentation and coaching workflows to help advisors focus on building human relationships.","Lucid Capital, CLARK, Ascendia, Harvey, Meta, Thinksurance, Covago",2024,"ex-CLARK, experienced in InsurTech and financial services","Advisors save up to five hours a week, clients include Lieblings Makler, Käpsele, and Penzilla, onboarding process takes 90 minutes per team and 3 minutes per advisor.",,Pre-Seed,English,EU,,"Vertical AI, financial advisors, AI assistant, InsurTech, financial services, coaching tools",https://www.eu-startups.com/2025/05/golden-nuggets-of-insight-danish-startup-today-secures-e1-million-to-help-financial-advisors-save-time-and-sell-smarter/,"May 29, 2025",Michael Gackstatter
FutureTravel Summit,,Barcelona,Spain,"Travel, Hospitality","Pre-seed, Seed","A global gathering of travel innovators, startup founders, corporate executives, and investors shaping the future of travel and hospitality.","ROCH Ventures, Amadeus Ventures, Kinnevik, Eight Roads",,,"Pitch competition for early-stage startups, media visibility, strategic connections",,,,,,"FutureTravel Summit, travel innovation, pitch competition, startup, investors",https://www.eu-startups.com/2025/05/pitch-competition-applications-now-open-for-the-futuretravel-summit-2025/,"May 29, 2025",
Better Medicine,2500000.0,Tartu,Estonia,"HealthTech, AI, Medical Imaging",Early Stage,"AI-powered tool for radiologists to read CT scans with greater accuracy, focusing on early detection of kidney tumours.",,3,,"Clinically certified system, 99.2% detection rate in clinical tests, already in use in hospitals.",,,English,EU,,"AI, healthcare, medical imaging, diagnostics",https://www.eu-startups.com/2025/05/ai-meets-healthtech-10-promising-european-startups-leading-the-change-in-2025/,"May 29, 2025",
Movens Capital,60000000.0,Warsaw,Poland,"Venture Capital, Tech Investment",Multi-stage,Multi-stage venture capital firm backing tech companies from Central and Eastern Europe with global ambitions.,"European Bank for Reconstruction and Development (EBRD), PFR Ventures",6,"Former tech entrepreneurs, machine learning experts","Helped organize over €110 million in follow-on funding for its portfolio companies, portfolio includes exited companies like Packhelp and Fenige",,Multi-stage,English,EU,,"VC firm, Central and Eastern Europe, pre-Seed, Seed, Series A, AI, ClimateTech, FinTech, healthcare, e-commerce infrastructure",https://www.eu-startups.com/2025/06/polish-vc-firm-movens-capital-launches-e60-million-fund-to-back-cee-tech-founders-from-pre-seed-to-series-a/,"June 23, 2025",
PhysicsX,117300000.0,London,UK,"aerospace & defense, automotive, semiconductors, materials, energy",Series B,PhysicsX is accelerating industrial innovation with AI by building a new engineering software stack to bring deep AI enablement to the whole engineering lifecycle.,"Atomico, Temasek, Siemens, Applied Materials, July Fund, General Catalyst, NGP, Radius Capital, Standard Investments, Allen & Co",2023,"ex-Renault (Alpine) F1, ex-Mercedes F1, ex-Bentley Motors, ex-QuantumBlack (AI by McKinsey)","grown to a team of over 150, more than quadrupling revenue over the last two years",147700000,Series B,English,UK,,"AI, industrial innovation, engineering software, aerospace, automotive, semiconductors, materials, energy, global expansion, physics foundation models",https://www.eu-startups.com/2025/06/british-ai-startup-physicsx-raises-e117-3-million-to-usher-in-a-new-era-of-ai-native-engineering-and-manufacturing/,"June 23, 2025",Jacomo Corbo
CloEE,520000.0,Helsinki,Finland,"AI, discrete manufacturing",pre-Seed,"AI-powered platform for discrete manufacturing that leverages generative AI to analyse real-time data from equipment, MES, and ERP systems, delivering actionable insights and driving continuous improvement.","Miro Vertanen, Innovestor Angel Co-fund, Cariplo Iniziative, Finnish Business Angels Network (FiBAN) members",2,"in-depth industry expertise and proven track record of driving large-scale digital transformation projects in the manufacturing industry, hands-on experience with over 100 IoT deployments","pilot with a US customer operating 100 facilities, discussions for a three-year contract covering 10 of them, up to €867k in annual revenue growth, 30% reduction in energy consumption, 95% drop in emergency stops",,Pre-Seed,English,EU,,"AI, manufacturing, digital transformation, IoT, predictive maintenance, quality control",https://www.eu-startups.com/2025/06/finnish-startup-cloee-raises-e520k-to-accelerate-ai-driven-process-manufacturing/,"June 23, 2025",
,,,,,,,,,,,,,,,,,https://www.eu-startups.com/2025/06/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-jun-16-jun-20/,"June 20, 2025",
Punto Health,100000.0,London,UK,"HealthTech, dementia care",Grant,Punto Health innovates dementia care by using AI to transform crisis management into proactive family support.,"NN Group, Rubio Impact Ventures",2023,"Anna Muñoz Farré (Co-founder and CEO), Jack Eckersley (Co-founder), years of accumulated expertise across healthcare and innovative technologies","Won the NN Social Innovation Startup Award, offers two products: PuntoCare and PuntoClinic",,Grant,English,EU,,"HealthTech, dementia care, AI, social innovation, NN Group, Rubio Impact Ventures",https://www.eu-startups.com/2025/06/spanish-healthtech-startup-receives-e100k-grant-for-their-dementia-care-app/,"June 20, 2025",
Nvelop,1200000.0,Helsinki,Finland,"AI, procurement, enterprise software",Seed,Nvelop is an innovator in AI-powered procurement that accelerates sourcing processes while reducing costs and ensuring compliance.,"Failup Ventures, Antler",2024,"Mikko Valorinta, Nithin Nadagouda, Ilkka Uuhiniemi","AI-native system supporting the entire sourcing lifecycle, faster sourcing, cost savings, regulatory assurance, better business outcomes",,Seed,English,EU,,"agentic sourcing, AI-powered procurement, enterprise procurement, sourcing lifecycle, chat-first interface",https://www.eu-startups.com/2025/06/finnish-startup-nvelop-secures-e1-2-million-to-innovate-enterprise-procurement-with-agentic-ai/,"June 20, 2025",
Hailia,1750000.0,Karkkila,Finland,"FoodTech, seafood processing",,"Hailia develops novel and resource-efficient seafood processing technologies, producing innovative seafood products from sidestreams of fish processing.","Holdix, Ikorni Invest, Nordic Foodtech VC, Heino Group Oy, Tradeka-sijoitus Oy",3,,"Launched 'pulled rainbow trout' product with Kalavapriikki and S-Group in 2024, products available to food service and industrial kitchens in collaboration with Hätälä, technology licensed to Kalavapriikki.",,,English,EU,,"FoodTech, seafood, sidestreams, sustainability, licensing, fish processing, resource efficiency",https://www.eu-startups.com/2025/06/finnish-startup-hailia-raises-e1-75-million-to-transform-underutilised-fish-materials-into-new-seafood-dishes/,"June 20, 2025",
